class,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20
A,0.4775408208370209,0.28819549083709717,0.16298411786556244,0.1395321637392044,0.20593653619289398,0.28559985756874084,0.28374388813972473,0.27899840474128723,0.2883389890193939,0.4012536406517029,0.3957577049732208,0.3830713629722595,0.39259302616119385,0.518858790397644,0.5129609107971191,0.48116400837898254,0.4803587794303894,0.6441831588745117,0.6330605149269104,0.5894216299057007,0.5686572790145874,0.7191959619522095,0.6189415454864502,0.4943075180053711,0.36794719099998474,0.29623666405677795,0.3739798963069916,0.2713072597980499,0.36507993936538696,0.4435214698314667,0.36882418394088745,0.2478225827217102,0.37979137897491455,0.4719199240207672,0.3795395791530609,0.263241171836853,0.3846486508846283,0.4755285382270813,0.4056413769721985,0.2975405156612396,0.36834025382995605,0.435560941696167
A,0.4542955756187439,0.26603156328201294,0.14208510518074036,0.11710464954376221,0.17376308143138885,0.26972445845603943,0.266947478055954,0.2679503560066223,0.2826414704322815,0.3798603117465973,0.372058242559433,0.36130982637405396,0.37309354543685913,0.4914281368255615,0.486624151468277,0.4599340558052063,0.4607526659965515,0.6131855845451355,0.6001812815666199,0.5625926852226257,0.548620343208313,0.6654790639877319,0.583445131778717,0.4621099829673767,0.34163010120391846,0.2687416672706604,0.34639787673950195,0.24377429485321045,0.33509859442710876,0.41204777359962463,0.33820316195487976,0.2243889421224594,0.34911665320396423,0.44287967681884766,0.34614336490631104,0.23587143421173096,0.354550302028656,0.44652634859085083,0.3697667121887207,0.26945167779922485,0.3432323932647705,0.4164941906929016
A,0.5134980082511902,0.3264939486980438,0.20539407432079315,0.1834653615951538,0.24370987713336945,0.3440411686897278,0.34496599435806274,0.3415929675102234,0.3472117781639099,0.4523570239543915,0.4499155879020691,0.436005175113678,0.4400583505630493,0.5618287324905396,0.5603548288345337,0.530848503112793,0.5220304727554321,0.6790595054626465,0.668161153793335,0.6357199549674988,0.6195363998413086,0.5757336020469666,0.4946148991584778,0.3794705867767334,0.26250720024108887,0.19388249516487122,0.2677077054977417,0.17098118364810944,0.24511459469795227,0.3221534788608551,0.26166900992393494,0.14891299605369568,0.2577340006828308,0.3555910289287567,0.2697068154811859,0.16325128078460693,0.2728501558303833,0.3669387102127075,0.29106593132019043,0.1987951695919037,0.26562798023223877,0.3360363841056824
A,0.6100249886512756,0.4346139430999756,0.3018264174461365,0.2819700241088867,0.34647446870803833,0.44146251678466797,0.45547619462013245,0.4558141231536865,0.45920416712760925,0.562475860118866,0.5658514499664307,0.5486937165260315,0.5525633096694946,0.6766785979270935,0.6797136068344116,0.647982120513916,0.6381413340568542,0.7922215461730957,0.787322461605072,0.7537024021148682,0.7359050512313843,0.6647608280181885,0.5931574106216431,0.45273828506469727,0.32472333312034607,0.25525057315826416,0.33920833468437195,0.24167349934577942,0.33711445331573486,0.4115411937236786,0.3341304361820221,0.23334795236587524,0.3588452935218811,0.4459112584590912,0.35058271884918213,0.24813653528690338,0.3672845959663391,0.4528256058692932,0.383271187543869,0.289793461561203,0.35701343417167664,0.4162120819091797
A,0.5857065320014954,0.41462910175323486,0.27944615483283997,0.26420533657073975,0.3496825695037842,0.4248425364494324,0.4227345883846283,0.4243251085281372,0.4328095614910126,0.5424876809120178,0.5391865372657776,0.524017870426178,0.526997447013855,0.6544974446296692,0.6570982336997986,0.6263672113418579,0.6176724433898926,0.7667561173439026,0.7664806246757507,0.7328047752380371,0.7156195044517517,0.7917757034301758,0.735979437828064,0.5973131656646729,0.46917328238487244,0.3998396694660187,0.4892512559890747,0.39555826783180237,0.49980103969573975,0.5800190567970276,0.48670727014541626,0.38519689440727234,0.5206670165061951,0.6079632043838501,0.5055801868438721,0.4030155539512634,0.5300233364105225,0.6188410520553589,0.5439812541007996,0.4580484926700592,0.535728394985199,0.6000178456306458
A,0.6781631708145142,0.5071205496788025,0.3778044283390045,0.36319106817245483,0.43386411666870117,0.5233137011528015,0.534382164478302,0.5290064811706543,0.5295613408088684,0.6354241371154785,0.639373242855072,0.6182966828346252,0.6179803609848022,0.7449586391448975,0.748568058013916,0.7146469950675964,0.703836977481842,0.8552347421646118,0.848729133605957,0.8131428956985474,0.7964492440223694,0.823595404624939,0.7503032684326172,0.6106283664703369,0.48439693450927734,0.42068982124328613,0.5142018795013428,0.41323280334472656,0.5080082416534424,0.5789221525192261,0.5132851600646973,0.40498387813568115,0.529839038848877,0.6120256781578064,0.5298166275024414,0.42189282178878784,0.5424402952194214,0.6263862252235413,0.5607383251190186,0.4656546711921692,0.5391855835914612,0.6013821959495544
A,0.5176464319229126,0.35748347640037537,0.25433406233787537,0.23669305443763733,0.276865690946579,0.378105103969574,0.3661956489086151,0.36173492670059204,0.36708781123161316,0.4853028655052185,0.4730548858642578,0.4536607265472412,0.45554983615875244,0.5902870893478394,0.5838518738746643,0.5472480058670044,0.5390563607215881,0.704255998134613,0.6988124847412109,0.658444344997406,0.6387715339660645,0.8541418313980103,0.7823909521102905,0.64998859167099,0.530957818031311,0.4494161605834961,0.5364211797714233,0.43562382459640503,0.5203689336776733,0.5932599902153015,0.5350903272628784,0.4262318015098572,0.5492821335792542,0.6409859657287598,0.5516667366027832,0.4399317502975464,0.5584607720375061,0.6501652598381042,0.5875919461250305,0.48624542355537415,0.5561880469322205,0.6256729364395142
A,0.43110576272010803,0.2550726532936096,0.13761967420578003,0.11853417754173279,0.1837310492992401,0.2835742235183716,0.2776924967765808,0.2733615040779114,0.2812579572200775,0.39400577545166016,0.3836256265640259,0.3695061206817627,0.37733539938926697,0.5032545328140259,0.4987449645996094,0.47003602981567383,0.4694710671901703,0.6189125180244446,0.6127375960350037,0.5765873193740845,0.5633252859115601,0.8028956055641174,0.7239387035369873,0.5958994626998901,0.47404685616493225,0.4000175893306732,0.48202335834503174,0.38642147183418274,0.4779919981956482,0.5490460395812988,0.4802815318107605,0.37546396255493164,0.5017863512039185,0.5866320729255676,0.4954417049884796,0.38987523317337036,0.5073354840278625,0.5932691097259521,0.5279616117477417,0.42775899171829224,0.49823877215385437,0.5658890604972839
A,0.5794008374214172,0.3826129734516144,0.2681219279766083,0.25825929641723633,0.31828516721725464,0.4102272689342499,0.405220627784729,0.3918870985507965,0.40688902139663696,0.523600161075592,0.5138825178146362,0.48638954758644104,0.5004149675369263,0.636307954788208,0.630966067314148,0.5903955698013306,0.5957059860229492,0.7574454545974731,0.732544481754303,0.6881702542304993,0.6836132407188416,0.8049856424331665,0.7255813479423523,0.5899044275283813,0.468100368976593,0.39914995431900024,0.48276734352111816,0.3778946101665497,0.4648754596710205,0.5404477119445801,0.4784843623638153,0.3618028163909912,0.48811468482017517,0.5783307552337646,0.49137818813323975,0.37625354528427124,0.49479952454566956,0.5825676918029785,0.5211644172668457,0.4296042323112488,0.49970442056655884,0.561249315738678
A,0.5557022094726562,0.3665313124656677,0.24280688166618347,0.22445011138916016,0.2855563461780548,0.3733086585998535,0.38575875759124756,0.3833359479904175,0.38834503293037415,0.486702024936676,0.49311336874961853,0.4783312678337097,0.48169106245040894,0.5979454517364502,0.607659637928009,0.5758735537528992,0.5695154666900635,0.7114728689193726,0.7143639326095581,0.6778335571289062,0.6631075143814087,0.7120775580406189,0.6234166622161865,0.4822504222393036,0.3410005569458008,0.2641979455947876,0.3617665767669678,0.25773248076438904,0.35977840423583984,0.42934876680374146,0.3624574542045593,0.255026251077652,0.3945414125919342,0.4655980169773102,0.3782886564731598,0.2728566527366638,0.4041191339492798,0.48222747445106506,0.40558749437332153,0.30476003885269165,0.38663941621780396,0.45442211627960205
